database,query_id,round_num,start_time,end_time,elapsed_ms,row_count,result_hash,success,error_message
Greenplum,q18,1,2026-08-04T04:05:39.504+00:00,2026-08-04T04:05:39.821+00:00,315.04,5,a453ae8127ad1700722b5a8ff363bc7b3632bb2fa0490cdc74eddcdf156ec65a,True,
Greenplum,q22,1,2026-08-04T04:05:39.822+00:00,2026-08-04T04:05:39.870+00:00,46.69,7,fdfb6921ca2a1f59f2b8b250a64d637c968d0f223b7ec6c5e4560f860a53180c,True,
Greenplum,q17,1,2026-08-04T04:05:39.870+00:00,2026-08-04T04:05:40.034+00:00,161.67,1,9a3d1f3f694155da1dc0635e8777f636e07f15f895916bc0328a0fdce877187f,True,
Greenplum,q13,1,2026-08-04T04:05:40.034+00:00,2026-08-04T04:05:40.102+00:00,65.46,37,42bb5b9d31ec606514a576fd0407ed6d51e63e11a1e1ea05c6039d89c29e8ee2,True,
Greenplum,q6,1,2026-08-04T04:05:40.102+00:00,2026-08-04T04:05:40.136+00:00,33.06,1,2cdce46c156af217b6a76401d58b94624f8493520129e4b1e90830abc0643712,True,
Greenplum,q7,1,2026-08-04T04:05:40.136+00:00,2026-08-04T04:05:40.386+00:00,248.52,4,6716e14755d4f5d95a6646ea58876b2b4239017cb84cf14b281ca4bdea3a394b,True,
Greenplum,q9,1,2026-08-04T04:05:40.386+00:00,2026-08-04T04:05:40.675+00:00,280.49,175,ebb16612aaba53a9a6d425d973c561e5dd7a1b70c4f32ba19680835f9bb7f5f2,True,
Greenplum,q1,1,2026-08-04T04:05:40.676+00:00,2026-08-04T04:05:41.096+00:00,418.49,4,4a63e850889beb8075f235a4ed15f79e0d08baf28d73d388c6b16b0106ddefe7,True,
Greenplum,q16,1,2026-08-04T04:05:41.096+00:00,2026-08-04T04:05:41.164+00:00,59.94,2762,9681ce56918cd7141173026d87c26c9fd87afc62c46b45a2dbc5be1ef159a9b1,True,
Greenplum,q8,1,2026-08-04T04:05:41.164+00:00,2026-08-04T04:05:41.588+00:00,421.68,2,c60f2018a2cde9154f10ae17f3359590459867a81d2726859d9d85bad7e23aff,True,
Greenplum,q21,1,2026-08-04T04:05:41.588+00:00,2026-08-04T04:05:42.627+00:00,1028.69,47,86efdec346cfebe32bacff5819615897f64fddcba4af9d82f5de544798cd2962,True,
Greenplum,q19,1,2026-08-04T04:05:42.627+00:00,2026-08-04T04:05:42.723+00:00,93.09,1,3e9305f88a3aef222e9d019af6a2e6f40303e9c9bf11a50d1562324a2d9f9e87,True,
Greenplum,q4,1,2026-08-04T04:05:42.724+00:00,2026-08-04T04:05:42.848+00:00,122.62,5,607206b8c5dc00a59ce05f563a151cd1cf956663ca50fa4d396ccb61b6a3503c,True,
Greenplum,q12,1,2026-08-04T04:05:42.848+00:00,2026-08-04T04:05:42.945+00:00,94.36,2,eff0114ecfe105cd72843038cb84bcc3fac7bf1f70ec22e5b279e9bc5f49021c,True,
Greenplum,q15,1,2026-08-04T04:05:42.945+00:00,2026-08-04T04:05:42.995+00:00,47.8,1,2696a2b1087e0db9ee3147b7dd4aa013894d005203cbc28cee3b704d7daded4a,True,
Greenplum,q5,1,2026-08-04T04:05:42.995+00:00,2026-08-04T04:05:43.360+00:00,322.79,5,92e68b5940711975eadfef9cebcb6626c1b529a23731481d64f34508cc256489,True,
Greenplum,q10,1,2026-08-04T04:05:43.360+00:00,2026-08-04T04:05:43.517+00:00,152.76,20,77da45dd0218922612cd92c6f16e238b4184b43e42c5a0d1a3c37503d4954092,True,
Greenplum,q2,1,2026-08-04T04:05:43.517+00:00,2026-08-04T04:05:44.091+00:00,567.86,44,d7c945bcad8db1ca27d3ba6d14645d189d8cbf2e2ceac247d95e4cdc8f5ed661,True,
Greenplum,q11,2,2026-08-04T04:05:44.091+00:00,2026-08-04T04:05:44.284+00:00,160.26,2541,3db7d53827190857328a4fdc4d52c9fa4bf0a5716ac267623c1e7ef6459a4373,True,
Greenplum,q9,2,2026-08-04T04:05:44.284+00:00,2026-08-04T04:05:44.608+00:00,319.91,175,ebb16612aaba53a9a6d425d973c561e5dd7a1b70c4f32ba19680835f9bb7f5f2,True,
Greenplum,q20,2,2026-08-04T04:05:44.608+00:00,2026-08-04T04:05:44.794+00:00,184.2,9,103b073204ade8735df56b98bd5f8d4bcc5117a308cea568948ab9c1ae73f66b,True,
Greenplum,q21,2,2026-08-04T04:05:44.794+00:00,2026-08-04T04:05:45.536+00:00,740.09,47,86efdec346cfebe32bacff5819615897f64fddcba4af9d82f5de544798cd2962,True,
